iter	Passed	Remaining
404	8166	13712
405	8186	13690
406	8208	13674
407	8230	13657
408	8249	13635
409	8269	13613
410	8286	13589
411	8305	13567
412	8326	13548
413	8345	13526
414	8364	13504
415	8385	13485
416	8404	13464
417	8425	13443
418	8446	13424
419	8466	13405
420	8487	13385
421	8506	13364
422	8527	13345
423	8547	13325
424	8569	13307
425	8590	13289
426	8613	13272
427	8639	13261
428	8667	13253
429	8694	13243
430	8723	13237
431	8747	13222
432	8772	13209
433	8793	13190
434	8815	13173
435	8833	13149
436	8854	13129
437	8875	13110
438	8895	13089
439	8919	13075
440	8942	13059
441	8965	13043
442	8994	13034
443	9017	13018
444	9050	13016
445	9074	13002
446	9097	12984
447	9119	12966
448	9138	12944
449	9157	12922
450	9176	12899
451	9196	12879
452	9217	12860
453	9241	12844
454	9268	12833
455	9291	12817
456	9317	12803
457	9342	12790
458	9371	12781
459	9402	12775
460	9430	12764
461	9453	12748
462	9474	12727
463	9498	12712
464	9525	12700
465	9552	12688
466	9577	12674
467	9601	12658
468	9631	12650
469	9657	12637
470	9683	12623
471	9715	12617
472	9741	12604
473	9776	12602
474	9801	12586
475	9828	12574
476	9858	12565
477	9884	12552
478	9907	12534
479	9929	12515
480	9950	12494
481	9971	12474
482	9991	12453
483	10018	12440
484	10042	12423
485	10067	12407
486	10096	12397
487	10120	12381
488	10148	12369
489	10174	12354
490	10196	12335
491	10217	12315
492	10239	12295
493	10263	12278
494	10294	12269
495	10318	12252
496	10351	12246
497	10375	12229
498	10406	12220
499	10430	12204
500	10461	12194
501	10489	12182
502	10510	12161
503	10531	12140
504	10552	12120
505	10577	12103
506	10604	12089
507	10632	12076
508	10658	12061
509	10695	12058
510	10721	12043
511	10754	12035
512	10781	12021
513	10801	11999
514	10820	11975
515	10841	11955
516	10863	11935
517	10889	11919
518	10914	11903
519	10941	11888
520	10968	11873
521	10992	11855
522	11015	11836
523	11044	11824
524	11087	11826
525	11131	11830
526	11169	11826
527	11216	11832
528	11255	11830
529	11300	11833
530	11319	11810
531	11347	11795
532	11373	11779
533	11399	11762
534	11427	11747
535	11452	11729
536	11477	11712
537	11505	11698
538	11533	11683
539	11558	11665
540	11583	11647
541	11605	11627
542	11629	11608
543	11651	11587
544	11679	11572
545	11705	11555
546	11733	11540
547	11769	11533
548	11793	11514
549	11817	11495
550	11837	11472
551	11855	11447
552	11875	11424
553	11899	11405
554	11923	11385
555	11950	11370
556	11978	11355
557	12007	11339
558	12040	11329
559	12066	11312
560	12088	11291
561	12110	11269
562	12131	11247
563	12150	11224
564	12177	11207
565	12200	11187
566	12227	11170
567	12252	11152
568	12277	11133
569	12304	11117
570	12326	11096
571	12348	11074
572	12368	11051
573	12388	11028
574	12408	11005
